Gene Accession	Gene Symbol	Human gene	Family	Availability	pigmentation phenotype	normal phenotype	nervous system phenotype	renal/urinary system phenotype	muscle phenotype	liver/biliary system phenotype	limbs/digits/tail phenotype	adipose tissue phenotype	homeostasis/metabolism phenotype	hearing/vestibular/ear phenotype	growth/size/body region phenotype	endocrine/exocrine gland phenotype	embryo phenotype	digestive/alimentary phenotype	craniofacial phenotype	cellular phenotype	cardiovascular system phenotype	behavior/neurological phenotype	immune system phenotype	respiratory system phenotype	reproductive system phenotype	skeleton phenotype	vision/eye phenotype	taste/olfaction phenotype	hematopoietic system phenotype	mortality/aging	integument phenotype
MGI:107497	Fxyd3	FXYD3	Ion Channel	ES Cells|Mice tm1a|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	No data	Could not analyse	No data	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data
MGI:1889006	Fxyd7	FXYD7	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:95617	Gabra5	GABRA5	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:103156	Gabrg1	GABRG1	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2387597	Gabrp	GABRP	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:95625	Gabrr1	GABRR1	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:95749	Glra3	GLRA3	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:95750	Glra4	GLRA4	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Could not analyse	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:95751	Glrb	GLRB	Ion Channel	Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	Could not analyse	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Deviance Significant	Data analysed, no significant call
MGI:1914799	Gpr89	GPR89A, GPR89B	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:95812	Grid1	GRID1	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:95816	Grik3	GRIK3	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:96663	Kcna6	KCNA6	Ion Channel	ES Cells|Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:96664	Kcna7	KCNA7	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:109239	Kcnab2	KCNAB2	Ion Channel	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1336208	Kcnab3	KCNAB3	Ion Channel	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:96670	Kcnc4	KCNC4	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:96671	Kcnd1	KCND1	Ion Channel	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call
MGI:3694646	Kcng2	KCNG2	Ion Channel	Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2663923	Kcng3	KCNG3	Ion Channel	ES Cells|Mice tm1e	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1913983	Kcng4	KCNG4	Ion Channel	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2156184	Kcnh4	KCNH4	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2684139	Kcnh6	KCNH6	Ion Channel	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2445160	Kcnh8	KCNH8	Ion Channel	Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1917607	Kcnip1	KCNIP1	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1933131	Kcnip4	KCNIP4	Ion Channel	ES Cells|Mice tm1a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:108495	Kcnj12	KCNJ12	Ion Channel	ES Cells|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Could not analyse	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:2384820	Kcnj14	KCNJ14	Ion Channel	ES Cells|Mice tm2a|Mice tm2b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1310000	Kcnj15	KCNJ15	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2684043	Kcnk12	KCNK12	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1298234	Kcnk4	KCNK4	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1341841	Kcnk7	KCNK7	Ion Channel	ES Cells|Mice tm1a	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3612244	Kcnmb3	KCNMB3	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1913272	Kcnmb4	KCNMB4	Ion Channel	Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1933993	Kcnn1	KCNN1	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1197019	Kcns1	KCNS1	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1197011	Kcns2	KCNS2	Ion Channel	ES Cells|Mice em1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:1098804	Kcns3	KCNS3	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1924627	Kcnt1	KCNT1	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:3036273	Kcnt2	KCNT2	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1914748	Kcnv1	KCNV1	Ion Channel	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2442845	Lrrc38	LRRC38	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685197	Lrrc55	LRRC55	Ion Channel	Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1890615	Panx2	PANX2	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	Deviance Significant	Deviance Significant	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2664668	Pkd1l2	PKD1L2	Ion Channel	ES Cells|Mice tm1b|Mice tm1a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2664670	Pkd1l3	PKD1L3	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1858231	Pkd2l2	PKD2L2	Ion Channel	ES Cells|Mice tm1b|Mice tm1a|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1915051	Pllp	PLLP	Ion Channel	ES Cells|Mice tm1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:106921	Scn2b	SCN2B	Ion Channel	Mice em1|phenotype data available	No data	Deviance Significant	No data	No data	No data	No data	Could not analyse	No data	No data	Data analysed, no significant call	Could not analyse	No data	No data	No data	Could not analyse	No data	Deviance Significant	No data	No data	No data	Data analysed, no significant call	Could not analyse	No data	No data	No data	Data analysed, no significant call	No data
MGI:1918882	Scn3b	SCN3B	Ion Channel	ES Cells|Mice tm1a|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:102965	Scn7a	SCN7A	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:104696	Scnn1b	SCNN1B	Ion Channel	ES Cells|Mice tm1a|Mice tm1b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call
MGI:2385894	Slc26a1	SLC26A1	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2669033	Tmc3	TMC3	Ion Channel	ES Cells|Mice tm2a|Mice tm2b|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2669035	Tmc4	TMC4	Ion Channel	ES Cells|Mice em1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1921674	Tmc5	TMC5	Ion Channel		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2443317	Tmc7	TMC7	Ion Channel	Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call
MGI:1098718	Tmem38b	TMEM38B	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1889007	Ttyh1	TTYH1	Ion Channel	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2157091	Ttyh2	TTYH2	Ion Channel	ES Cells|Mice tm1a	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1919363	Adck1	ADCK1	Kinase	Mice em2|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call
MGI:1889336	Adck2	ADCK2	Kinase	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:2679274	Adck5	ADCK5	Kinase	ES Cells|Mice tm1|Mice tm1.1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Data analysed, no significant call	Data analysed, no significant call
MGI:2449492	Alpk2	ALPK2	Kinase	Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Could not analyse	No data	No data	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call	No data
MGI:2151224	Alpk3	ALPK3	Kinase	ES Cells|Mice tm1b|Mice tm1a|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	Deviance Significant	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call
MGI:2652869	BC030499	SGK494	Kinase	ES Cells|Mice tm1.1|Mice tm1|phenotype data available	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	Deviance Significant	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call
MGI:1276121	Bckdk	BCKDK	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2685946	Brsk1	BRSK1	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1923020	Brsk2	BRSK2	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2442190	Camk1d	CAMK1D	Kinase	ES Cells|Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	No data	No data	No data
MGI:2388073	Camk1g	CAMK1G	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1891766	Camkk1	CAMKK1	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2444812	Camkk2	CAMKK2	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2384296	Camkv	CAMKV	Kinase	ES Cells|Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	Could not analyse	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	Data analysed, no significant call	Data analysed, no significant call	No data	Data analysed, no significant call	No data	Data analysed, no significant call
MGI:2441841	Cdc42bpa	CDC42BPA	Kinase	ES Cells|Mice tm1a	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2136459	Cdc42bpb	CDC42BPB	Kinase	ES Cells|Mice em1|phenotype data available	Data analysed, no significant call	No data	Data analysed, no significant call	No data	No data	No data	No data	Data analysed, no significant call	No data	Could not analyse	Data analysed, no significant call	No data	No data	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	Data analysed, no significant call	No data	No data	Deviance Significant	No data
MGI:2652845	Cdc42bpg	CDC42BPG	Kinase		No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:2448549	Cdk10	CDK10	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:88353	Cdk11b	CDK11B	Kinase	ES Cells	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
MGI:1098802	Cdk12	CDK12	Kinase	ES Cells|Mice em1|phenotype data available	No data	No data	No data	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	Data analysed, no significant call	No data	No data	No data	Data analysed, no significant call	No data	No data	No data	Deviance Significant	No data
